id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
123,甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,中国香港,1996, 陈可辛 Peter Chan, 黎明 Leon Lai,8.9,相逢只要一瞬间，等待却像是一辈子。,剧情/爱情,
124,借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,日本,2010, 米林宏昌 Hiromasa Yonebayashi, 志田未来 Mirai Shida,8.8,曾经的那段美好会沉淀为一辈子的记忆。,动画/奇幻/冒险,
125,完美的世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,美国,1993, 克林特·伊斯特伍德 Clint Eastwood, 凯文·科斯特纳 Kevin Cos...,9.1,坏人的好总是比好人的好来得更感人。,剧情/犯罪,
126,萤火之森,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg,日本,2011, 大森贵弘 Takahiro Omori, 佐仓绫音 Ayane Sakura,8.9,触不到的恋人。,剧情/爱情/动画/奇幻,
127,爱在日落黄昏时,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,美国 法国,2004, 理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ...,8.8,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,剧情/爱情,
128,驯龙高手,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg,美国,2010, 迪恩·德布洛斯 Dean DeBlois, 迪恩·德布洛斯 Dean DeBlois,8.7,和谐的生活离不开摸头与被摸头。,动画/奇幻/冒险,
129,玛丽和马克思,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg,澳大利亚,2009, 亚当·艾略特 Adam Elliot, 托妮·科莱特 Toni Collette,8.9,你是我最好的朋友，你是我唯一的朋友 。,剧情/喜剧/动画,
130,幸福终点站,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg,美国,2004, 史蒂文·斯皮尔伯格 Steven Spielberg, 汤姆·汉克斯 Tom Hanks...,8.8,有时候幸福需要等一等。 ,喜剧/剧情/爱情,
131,告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,日本,2010, 中岛哲也 Tetsuya Nakashima, 松隆子 Takako Matsu,8.7,没有一人完全善，也没有一人完全恶。,剧情/悬疑,
132,大鱼,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,美国,2003, 蒂姆·波顿 Tim Burton, 伊万·麦克格雷格 Ewan McGregor,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,剧情/家庭/奇幻/冒险,
133,射雕英雄传之东成西就,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg,中国香港,1993, 刘镇伟 Jeffrey Lau, 梁朝伟 Tony Leung Chiu Wai,8.7,百看不厌。 ,喜剧/奇幻/武侠/古装,
134,阳光姐妹淘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,韩国,2011, 姜炯哲 Hyeong-Cheol Kang, 沈恩京 Eun-kyung Shim,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,剧情/喜剧,
135,天书奇谭,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg,中国大陆,1983(中国大陆), 王树忱 Shuchen Wang, 王树忱 Shuchen Wang,9.2,传奇的年代，醉人的童话。,动画/奇幻,
136,恐怖直播,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg,韩国,2013, 金秉祐 Byeong-woo Kim, 河正宇 Jung-woo Ha,8.7,恐怖分子的“秋菊打官司”。,剧情/犯罪/悬疑,
137,怪兽电力公司,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg,美国,2001, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,不要给它起名字，起了名字就有感情了。,儿童/喜剧/动画/奇幻/冒险,
